path,label,label_name,split,source_split,base_image,src_file,bbox,conf,origin,domain
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_deteksi/test/normal/20000_02167.png,0,normal,test,test,20000,20000.png,"[0, 598, 12, 635]",1.0,kolektor_deteksi,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_deteksi/test/normal/20000_02168.png,0,normal,test,test,20000,20000.png,"[0, 586, 11, 636]",1.0,kolektor_deteksi,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_deteksi/test/normal/20001_02169.png,0,normal,test,test,20001,20001.png,"[0, 587, 19, 642]",1.0,kolektor_deteksi,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_deteksi/test/normal/20001_02170.png,0,normal,test,test,20001,20001.png,"[0, 596, 16, 642]",1.0,kolektor_deteksi,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_deteksi/test/normal/20002_02171.png,0,normal,test,test,20002,20002.png,"[0, 574, 12, 631]",1.0,kolektor_deteksi,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_deteksi/test/normal/20002_02172.png,0,normal,test,test,20002,20002.png,"[0, 536, 15, 612]",1.0,kolektor_deteksi,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_deteksi/test/normal/20006_02173.png,0,normal,test,test,20006,20006.png,"[0, 0, 9, 68]",1.0,kolektor_deteksi,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_deteksi/test/normal/20006_02174.png,0,normal,test,test,20006,20006.png,"[0, 0, 9, 83]",1.0,kolektor_deteksi,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_deteksi/test/normal/20012_02175.png,0,normal,test,test,20012,20012.png,"[0, 288, 15, 361]",1.0,kolektor_deteksi,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_deteksi/test/normal/20013_02176.png,0,normal,test,test,20013,20013.png,"[139, 274, 158, 314]",1.0,kolektor_deteksi,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_deteksi/test/normal/20013_02177.png,0,normal,test,test,20013,20013.png,"[138, 291, 156, 317]",1.0,kolektor_deteksi,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_deteksi/test/normal/20016_02178.png,0,normal,test,test,20016,20016.png,"[0, 209, 16, 282]",1.0,kolektor_deteksi,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_deteksi/test/normal/20016_02179.png,0,normal,test,test,20016,20016.png,"[0, 0, 10, 64]",1.0,kolektor_deteksi,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_deteksi/test/normal/20018_02180.png,0,normal,test,test,20018,20018.png,"[0, 0, 11, 23]",1.0,kolektor_deteksi,kolektor_permukaan
