path,label,label_name,split,source_split,base_image,src_file,bbox,conf,origin,domain
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_gt/test/normal/20000_02623.png,0,normal,test,test,20000,20000.png,"[74, 102, 108, 141]",1.0,kolektor_gt,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_gt/test/normal/20001_02624.png,0,normal,test,test,20001,20001.png,"[94, 281, 124, 370]",1.0,kolektor_gt,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_gt/test/normal/20002_02625.png,0,normal,test,test,20002,20002.png,"[13, 475, 145, 566]",1.0,kolektor_gt,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_gt/test/normal/20003_02626.png,0,normal,test,test,20003,20003.png,"[18, 28, 131, 75]",1.0,kolektor_gt,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_gt/test/normal/20004_02627.png,0,normal,test,test,20004,20004.png,"[144, 398, 165, 491]",1.0,kolektor_gt,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_gt/test/normal/20005_02628.png,0,normal,test,test,20005,20005.png,"[4, 455, 131, 555]",1.0,kolektor_gt,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_gt/test/normal/20006_02629.png,0,normal,test,test,20006,20006.png,"[90, 142, 138, 202]",1.0,kolektor_gt,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_gt/test/normal/20007_02630.png,0,normal,test,test,20007,20007.png,"[117, 283, 146, 292]",1.0,kolektor_gt,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_gt/test/normal/20008_02631.png,0,normal,test,test,20008,20008.png,"[91, 512, 116, 566]",1.0,kolektor_gt,kolektor_permukaan
C:/Arib/MASSA AYAM/chicken detection + constrative classification/data/crops_kolektor_gt/test/normal/20009_02632.png,0,normal,test,test,20009,20009.png,"[53, 357, 132, 416]",1.0,kolektor_gt,kolektor_permukaan
