berkas,gambar_sumber,det_id,dugaan_awal,label,conf,bbox,lebar_px,tinggi_px
ayam (1)_det000.jpg,ayam (1).jpg,0,,,0.8953,215.2 174.3 264.8 217.3,50,43
ayam (1)_det001.jpg,ayam (1).jpg,1,,,0.8927,0.6 253.8 62.4 299.4,62,46
ayam (1)_det002.jpg,ayam (1).jpg,2,,,0.8923,364.6 65.8 416.2 107.2,52,41
ayam (1)_det003.jpg,ayam (1).jpg,3,,,0.8916,403.4 115.3 432.0 164.4,29,49
ayam (1)_det004.jpg,ayam (1).jpg,4,,,0.889,315.4 65.4 367.5 102.0,52,37
ayam (1)_det005.jpg,ayam (1).jpg,5,,,0.8871,255.2 29.6 303.6 60.7,48,31
ayam (1)_det006.jpg,ayam (1).jpg,6,,,0.8815,215.0 301.3 259.7 365.8,45,64
ayam (1)_det007.jpg,ayam (1).jpg,7,,,0.8791,135.6 290.7 176.6 364.7,41,74
ayam (1)_det008.jpg,ayam (1).jpg,8,,,0.8768,105.8 100.7 150.2 136.2,44,35
ayam (1)_det009.jpg,ayam (1).jpg,9,,,0.8721,179.2 270.5 248.3 312.2,69,42
ayam (1)_det010.jpg,ayam (1).jpg,10,,,0.8674,377.5 289.2 432.0 351.8,54,63
ayam (1)_det011.jpg,ayam (1).jpg,11,,,0.8662,123.9 204.3 181.8 246.7,58,42
ayam (1)_det012.jpg,ayam (1).jpg,12,,,0.8656,261.2 68.4 313.6 117.1,52,49
ayam (1)_det013.jpg,ayam (1).jpg,13,,,0.8651,170.3 95.5 226.8 137.0,56,42
ayam (1)_det014.jpg,ayam (1).jpg,14,,,0.8632,356.9 255.3 427.4 301.5,70,46
ayam (1)_det015.jpg,ayam (1).jpg,15,,,0.8626,150.7 391.2 229.8 431.9,79,41
ayam (1)_det016.jpg,ayam (1).jpg,16,,,0.8619,255.2 290.5 311.3 372.5,56,82
ayam (1)_det017.jpg,ayam (1).jpg,17,,,0.8619,178.1 359.9 253.8 409.2,76,49
ayam (1)_det018.jpg,ayam (1).jpg,18,,,0.8613,249.3 201.6 321.3 250.4,72,49
ayam (1)_det019.jpg,ayam (1).jpg,19,,,0.8586,261.2 262.1 347.9 307.4,87,45
ayam (1)_det020.jpg,ayam (1).jpg,20,,,0.8545,82.0 57.1 126.5 97.1,44,40
ayam (1)_det021.jpg,ayam (1).jpg,21,,,0.8538,297.0 114.8 362.8 176.8,66,62
ayam (1)_det022.jpg,ayam (1).jpg,22,,,0.8536,96.2 361.1 167.4 410.8,71,50
ayam (1)_det023.jpg,ayam (1).jpg,23,,,0.8511,122.6 115.8 173.7 157.0,51,41
ayam (1)_det024.jpg,ayam (1).jpg,24,,,0.8491,80.8 1.6 128.2 34.5,47,33
ayam (1)_det025.jpg,ayam (1).jpg,25,,,0.8489,301.8 310.0 378.0 371.5,76,62
ayam (1)_det026.jpg,ayam (1).jpg,26,,,0.8472,204.4 1.6 247.3 42.9,43,41
ayam (1)_det027.jpg,ayam (1).jpg,27,,,0.8433,379.6 163.7 431.7 202.4,52,39
ayam (1)_det028.jpg,ayam (1).jpg,28,,,0.8421,285.9 37.0 333.8 70.3,48,33
ayam (1)_det029.jpg,ayam (1).jpg,29,,,0.8411,326.0 195.3 388.2 241.2,62,46
ayam (1)_det030.jpg,ayam (1).jpg,30,,,0.8401,376.1 375.4 432.0 428.0,56,53
ayam (1)_det031.jpg,ayam (1).jpg,31,,,0.8382,155.7 246.1 208.2 291.9,52,46
ayam (1)_det032.jpg,ayam (1).jpg,32,,,0.8382,170.5 310.1 224.3 374.6,54,64
ayam (1)_det033.jpg,ayam (1).jpg,33,,,0.8364,205.2 142.4 253.7 182.3,48,40
ayam (1)_det034.jpg,ayam (1).jpg,34,,,0.8327,69.2 397.4 143.0 432.0,74,35
ayam (1)_det035.jpg,ayam (1).jpg,35,,,0.8291,284.9 0.0 324.9 17.6,40,18
ayam (1)_det036.jpg,ayam (1).jpg,36,,,0.8221,14.2 121.4 63.5 178.2,49,57
ayam (1)_det037.jpg,ayam (1).jpg,37,,,0.8155,306.6 230.8 370.3 273.3,64,42
ayam (1)_det038.jpg,ayam (1).jpg,38,mati,,0.8123,163.5 134.8 218.7 185.2,55,50
ayam (1)_det039.jpg,ayam (1).jpg,39,,,0.8049,384.9 39.1 432.0 86.0,47,47
ayam (1)_det040.jpg,ayam (1).jpg,40,,,0.7951,416.5 74.0 432.0 115.2,16,41
ayam (1)_det041.jpg,ayam (1).jpg,41,,,0.7781,397.3 185.3 432.0 241.2,35,56
ayam (1)_det042.jpg,ayam (1).jpg,42,,,0.7757,321.3 25.3 381.1 70.9,60,46
ayam (1)_det043.jpg,ayam (1).jpg,43,,,0.7752,0.0 44.5 44.0 90.0,44,46
ayam (1)_det044.jpg,ayam (1).jpg,44,,,0.7735,223.6 403.7 295.8 432.0,72,28
ayam (1)_det045.jpg,ayam (1).jpg,45,,,0.7677,89.2 308.3 138.7 380.9,49,73
