run_id,method,aug,seed,stage,epoch,lr_used,lr_next,train_loss,val_loss,train_base_loss,val_base_loss,train_aux_ce,val_aux_ce,n_train_units,n_val_units,train_batches,val_batches,skipped_batches,val_bacc,val_auc,val_recall_dead,val_recall_alive,val_precision_dead,val_f1_dead
selfcon__simclr__s42,selfcon,simclr,42,contrastive,1,0.0005,0.0004996573836886434,3.3000871817270916,3.456822567675487,3.3000871817270916,3.456822567675487,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,2,0.0004996573836886434,0.0004986304738420682,2.9246328512827557,3.4144017006977494,2.9246328512827557,3.4144017006977494,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,3,0.0004986304738420682,0.0004969220851487844,2.8075005690256756,3.055121036897223,2.8075005690256756,3.055121036897223,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,4,0.0004969220851487844,0.0004945369001834514,2.578950866063436,2.933055530111474,2.578950866063436,2.933055530111474,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,5,0.0004945369001834514,0.0004914814565722671,2.4042946656545,3.0639443885849182,2.4042946656545,3.0639443885849182,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,6,0.0004914814565722671,0.00048776412907378846,2.380361318588257,2.79980140421764,2.380361318588257,2.79980140421764,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,7,0.00048776412907378846,0.00048339510662430044,2.239509121576945,2.722642120108547,2.239509121576945,2.722642120108547,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,8,0.00048339510662430044,0.0004783863644106502,2.0121150652567548,2.6428849812013557,2.0121150652567548,2.6428849812013557,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,9,0.0004783863644106502,0.00047275163104709196,1.9833152214686076,2.5249033807271934,1.9833152214686076,2.5249033807271934,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,10,0.00047275163104709196,0.00046650635094610973,1.5792347192764282,2.442750893443464,1.5792347192764282,2.442750893443464,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,11,0.00046650635094610973,0.00045966764198635603,1.6522445360819498,2.4953699456640037,1.6522445360819498,2.4953699456640037,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,12,0.00045966764198635603,0.0004522542485937369,1.759955366452535,2.093569502773055,1.759955366452535,2.093569502773055,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,13,0.0004522542485937369,0.00044428649036424276,1.6292318105697632,2.3044719365705926,1.6292318105697632,2.3044719365705926,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,14,0.00044428649036424276,0.0004357862063693486,1.451896893978119,2.154459400349353,1.451896893978119,2.154459400349353,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,15,0.0004357862063693486,0.00042677669529663696,1.3106781681378683,1.991568790860923,1.3106781681378683,1.991568790860923,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,16,0.00042677669529663696,0.0004172826515897146,1.471982216835022,1.8975390985787632,1.471982216835022,1.8975390985787632,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,17,0.0004172826515897146,0.0004073300977624594,1.3281785686810812,1.9282599515225514,1.3281785686810812,1.9282599515225514,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,18,0.0004073300977624594,0.0003969463130731183,1.2606266180674235,1.8597610025520783,1.2606266180674235,1.8597610025520783,,,240,166,4,3,0,,,,,,
